transaction_id,customer_id,product_id,quantity,purchase_date,total_price
T00001,C0040,P001,2,2024-09-20,4368.86
T00002,C0010,P043,2,2024-08-27,2696.14
T00003,C0102,P034,2,2024-11-25,1068.34
T00004,C0226,P035,1,2023-02-02,2762.91
T00005,C0290,P009,1,2024-10-12,2298.37
T00006,C0061,P040,3,2023-05-03,1179.15
T00007,C0123,P026,1,2023-08-27,380.89
T00008,C0240,P034,3,2023-12-11,1602.51
T00009,C0019,P046,2,2024-10-14,2053.54
T00010,C0061,P032,2,2023-11-12,3250.64
T00011,C0284,P017,1,2024-05-04,1296.99
T00012,C0125,P052,3,2023-10-30,1676.01
T00013,C0022,P062,2,2023-05-08,3030.72
T00014,C0048,P045,3,2024-06-14,1951.26
T00015,C0265,P040,3,2024-08-10,1179.15
T00016,C0119,P002,3,2024-07-27,12022.83
T00017,C0141,P001,1,2024-07-04,2184.43
T00018,C0101,P007,3,2023-09-27,9833.01
T00019,C0093,P032,1,2024-01-21,1625.32
T00020,C0149,P038,3,2023-07-09,7127.19
T00021,C0094,P038,3,2023-04-28,7127.19
T00022,C0143,P048,2,2024-06-21,5344.36
T00023,C0179,P047,3,2024-01-17,7347.84
T00024,C0100,P051,1,2023-12-17,416.31
T00025,C0220,P020,3,2024-02-21,3549.24
T00026,C0257,P071,2,2024-10-04,739.42
T00027,C0126,P008,1,2023-12-02,2442.75
T00028,C0075,P070,2,2024-12-11,1021.18
T00029,C0179,P041,3,2024-06-12,8121.42
T00030,C0002,P020,3,2024-07-10,3549.24
T00031,C0087,P025,1,2024-10-02,634.76
T00032,C0062,P008,3,2023-02-23,7328.25
T00033,C0182,P001,2,2024-01-31,4368.86
T00034,C0226,P013,2,2023-07-31,2847.1
T00035,C0271,P093,1,2023-09-22,308.61
T00036,C0205,P003,1,2024-08-24,1200.98
T00037,C0207,P024,3,2023-09-30,535.2
T00038,C0088,P012,1,2024-04-08,1265.35
T00039,C0186,P024,1,2024-09-01,178.4
T00040,C0132,P036,2,2024-04-18,7163.38
T00041,C0280,P029,1,2024-07-29,405.67
T00042,C0170,P094,2,2023-12-15,305.16
T00043,C0139,P100,3,2023-06-26,248.73
T00044,C0141,P014,1,2024-12-27,1906.99
T00045,C0059,P049,2,2024-01-14,2393.26
T00046,C0268,P014,3,2023-10-12,5720.97
T00047,C0255,P098,2,2024-05-04,955.76
T00048,C0297,P056,2,2023-04-09,1947.2
T00049,C0108,P060,3,2024-10-31,1228.68
T00050,C0092,P027,2,2023-04-15,656.8
T00051,C0140,P006,1,2023-04-18,1454.53
T00052,C0218,P001,1,2024-03-23,2184.43
T00053,C0282,P011,2,2024-06-10,2624.18
T00054,C0061,P036,1,2024-01-27,3581.69
T00055,C0251,P059,3,2023-07-05,1654.23
T00056,C0293,P012,1,2023-04-07,1265.35
T00057,C0224,P024,2,2023-09-09,356.8
T00058,C0059,P044,3,2023-02-06,8516.97
T00059,C0266,P055,1,2023-07-12,601.29
T00060,C0281,P019,1,2023-12-30,1558.65
T00061,C0200,P027,1,2023-02-23,328.4
T00062,C0261,P006,1,2024-04-17,1454.53
T00063,C0124,P075,2,2024-04-26,975.28
T00064,C0226,P034,2,2023-03-20,1068.34
T00065,C0076,P032,2,2024-04-22,3250.64
T00066,C0127,P042,3,2024-04-25,6439.35
T00067,C0183,P062,1,2023-01-01,1515.36
T00068,C0168,P009,2,2024-11-22,4596.74
T00069,C0156,P043,2,2024-09-20,2696.14
T00070,C0247,P069,2,2023-06-17,2851.2
T00071,C0045,P046,1,2024-08-10,1026.77
T00072,C0199,P037,3,2023-05-11,11682.99
T00073,C0252,P048,2,2023-11-18,5344.36
T00074,C0262,P091,2,2023-07-29,451.78
T00075,C0228,P045,1,2024-07-10,650.42
T00076,C0180,P009,2,2023-07-01,4596.74
T00077,C0258,P013,3,2023-05-24,4270.65
T00078,C0202,P069,2,2024-01-20,2851.2
T00079,C0248,P018,1,2024-05-30,1835.78
T00080,C0245,P059,3,2024-08-28,1654.23
T00081,C0216,P019,3,2024-01-05,4675.95
T00082,C0294,P022,2,2023-02-25,1461.28
T00083,C0257,P077,1,2023-01-12,729.29
T00084,C0118,P016,1,2024-04-17,1430.62
T00085,C0078,P008,3,2023-05-17,7328.25
T00086,C0006,P014,1,2023-09-27,1906.99
T00087,C0122,P079,2,2023-07-29,1453.96
T00088,C0267,P006,3,2024-06-12,4363.59
T00089,C0291,P004,3,2023-04-08,6002.07
T00090,C0265,P042,1,2023-06-16,2146.45
T00091,C0116,P008,2,2024-02-18,4885.5
T00092,C0135,P030,3,2023-09-05,2037.15
T00093,C0186,P031,1,2023-05-17,3222.65
T00094,C0228,P015,2,2024-09-01,1785.5
T00095,C0100,P075,1,2023-09-11,487.64
T00096,C0241,P034,2,2024-07-24,1068.34
T00097,C0107,P070,3,2024-11-20,1531.77
T00098,C0034,P043,3,2023-10-09,4044.21
T00099,C0077,P072,2,2024-06-09,1143.96
T00100,C0253,P095,3,2023-04-18,179.82
T00101,C0242,P003,3,2023-12-10,3602.94
T00102,C0101,P031,3,2024-11-01,9667.95
